,unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,yearincome,monthlyincome,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,roledepartament,remotework
0,0,51.0,No,,684.0,,6,3,,162.0,1,M,51.0,3,5, research director ,3,unknown,6462,7,no,13,3.0,3,,234444.0,19537.0,0,,5,3.0,20,,15,15,1972,Unknown,Si
1,1,52.0,No,,699.0,,1,4,Life Sciences,259.0,3,M,65.0,2,5, manager ,3,unknown,5678,0,unknown,14,3.0,1,,239988.0,19999.0,1,34.0,5,3.0,33,,11,9,1971,Unknown,Si
2,2,42.0,No,rarely,532.0, Research & Development ,4,2,Technical Degree,319.0,3,M,58.0,3,5, manager ,4,married,4933,1,no,11,3.0,4,,230784.0,19232.0,0,22.0,3,,22,,11,15,1981, manager  -  research & development ,Si
3,3,47.0,No,rarely,359.0,,2,4,Medical,unknown,1,F,82.0,3,4, research director ,3,married,26703,3,unknown,19,3.0,2,,206028.0,17169.0,2,,2,,20,,5,6,1976,Unknown,No
4,4,46.0,No,,1319.0,,3,3,Technical Degree,unknown,1,F,45.0,4,4, sales executive ,1,divorced,7739,2,no,12,3.0,4,,,,1,,5,3.0,19,,2,8,1977,Unknown,No
5,5,48.0,No,,117.0, Research & Development ,22,3,Medical,1900.0,4,F,58.0,3,4, manager ,4,unknown,2437,3,no,11,3.0,2,,206088.0,17174.0,1,,3,3.0,22,,4,7,1975, manager  -  research & development ,Si
6,6,59.0,No,,1435.0,,25,3,Life Sciences,81.0,1,F,99.0,3,3, sales executive ,1,unknown,2354,7,unknown,11,3.0,4,,,,0,28.0,3,2.0,21,,7,9,1964,Unknown,Si
7,7,42.0,No,rarely,635.0,,1,1,,387.0,2,M,99.0,3,2, sales executive ,3,married,24532,1,no,25,4.0,3,,,,0,20.0,3,3.0,20,,11,6,1981,Unknown,No
8,8,41.0,No,,1276.0,,2,5,,unknown,2,F,91.0,3,4, manager ,1,married,5626,7,no,16,3.0,2,,199140.0,16595.0,1,22.0,2,3.0,18,,11,8,1982,Unknown,Si
9,9,41.0,No,frequently,840.0,,9,3,,999.0,1,M,64.0,3,5, research director ,3,unknown,3735,2,no,17,3.0,2,,,,1,21.0,2,4.0,18,,0,11,1982,Unknown,No
10,10,41.0,No,non-travel,247.0,,7,1,,1035.0,2,F,55.0,1,5, research director ,3,unknown,20284,1,no,22,4.0,2,,239676.0,19973.0,2,,3,3.0,21,,5,10,1982,Unknown,No
11,11,56.0,No,rarely,1369.0,,23,3,Life Sciences,unknown,4,M,68.0,3,4, manufacturing director ,2,married,18235,4,yes,12,,1,,160824.0,13402.0,1,33.0,0,3.0,19,,15,9,1967,Unknown,No
12,12,38.0,No,,201.0,,10,3,Medical,unknown,2,F,99.0,1,3, research director ,3,married,3376,3,no,12,3.0,1,,158472.0,13206.0,1,,3,3.0,18,,1,11,1985,Unknown,Si
13,13,41.0,Yes,rarely,1360.0,,12,3,,58.0,2,F,49.0,3,5, research director ,3,married,16280,1,no,12,3.0,4,,234540.0,19545.0,0,,0,3.0,22,,15,8,1982,Unknown,No
14,14,55.0,No,,692.0,,14,4,Medical,unknown,3,M,61.0,4,5, research director ,2,single,13339,8,no,11,3.0,4,,,,0,,3,3.0,24,,2,15,1968,Unknown,Si
15,15,40.0,No,rarely,1398.0,,2,4,,558.0,3,F,79.0,3,5, manager ,3,unknown,13022,0,no,14,3.0,4,,216492.0,18041.0,0,,2,3.0,20,,1,12,1983,Unknown,No
16,16,58.0,Yes,rarely,286.0,,2,4,,825.0,4,M,31.0,3,5, research director ,2,single,25761,7,yes,12,3.0,4,,230952.0,19246.0,0,40.0,2,3.0,31,,13,8,1965,Unknown,No
17,17,46.0,No,rarely,1402.0,,2,3,,unknown,3,F,69.0,3,4, manager ,1,unknown,24097,8,unknown,23,4.0,1,,,,0,28.0,2,3.0,26,,15,9,1977,Unknown,No
18,18,35.0,No,,819.0,,13,5,Life Sciences,unknown,2,M,48.0,4,2, research scientist ,1,married,26312,1,unknown,11,3.0,4,,,,0,,2,3.0,16,,1,10,1988,Unknown,No
19,19,40.0,No,rarely,884.0,,15,3,Life Sciences,unknown,1,F,80.0,2,3, manufacturing director ,3,unknown,25800,1,unknown,13,3.0,4,,,,2,18.0,2,,18,,14,12,1983,Unknown,Si
20,20,45.0,No,non-travel,1238.0, Research & Development ,1,1,,1712.0,3,M,74.0,2,3, healthcare representative ,3,unknown,3395,3,unknown,23,4.0,4,,128976.0,10748.0,1,25.0,3,2.0,23,,14,4,1978, healthcare representative  -  research & development ,No
