,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,yearincome,monthlyincome,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,roledepartament,remotework
0,51.0,No,rarely,684.0,unknown,6,3,unknown,162.0,1,M,51.0,3,5, research director ,3,unknown,6462,7,no,13,3.0,3,40.0,234444.0,19537.0,0,11.318933823529411,5,3.0,20,15,15,1972,unknown,Si
1,52.0,No,rarely,699.0,unknown,1,4,Life Sciences,259.0,3,M,65.0,2,5, manager ,3,unknown,5678,0,unknown,14,3.0,1,40.0,239988.0,19999.0,1,34.0,5,3.0,33,11,9,1971,unknown,Si
2,42.0,No,rarely,532.0, Research & Development ,4,2,Technical Degree,319.0,3,M,58.0,3,5, manager ,4,married,4933,1,no,11,3.0,4,40.0,230784.0,19232.0,0,22.0,3,2.76,22,11,15,1981, manager  -  research & development ,Si
3,47.0,No,rarely,359.0,unknown,2,4,Medical,unknown,1,F,82.0,3,4, research director ,3,married,26703,3,unknown,19,3.0,2,40.0,206028.0,17169.0,2,11.318933823529411,2,2.76,20,5,6,1976,unknown,No
4,46.0,No,rarely,1319.0,unknown,3,3,Technical Degree,unknown,1,F,45.0,4,4, sales executive ,1,divorced,7739,2,no,12,3.0,4,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,5,3.0,19,2,8,1977,unknown,No
5,48.0,No,rarely,117.0, Research & Development ,22,3,Medical,1900.0,4,F,58.0,3,4, manager ,4,unknown,2437,3,no,11,3.0,2,40.0,206088.0,17174.0,1,11.318933823529411,3,3.0,22,4,7,1975, manager  -  research & development ,Si
6,59.0,No,rarely,1435.0,unknown,25,3,Life Sciences,81.0,1,F,99.0,3,3, sales executive ,1,unknown,2354,7,unknown,11,3.0,4,40.0,77732.23346303502,6477.686121919585,0,28.0,3,2.0,21,7,9,1964,unknown,Si
7,42.0,No,rarely,635.0,unknown,1,1,unknown,387.0,2,M,99.0,3,2, sales executive ,3,married,24532,1,no,25,4.0,3,40.0,77732.23346303502,6477.686121919585,0,20.0,3,3.0,20,11,6,1981,unknown,No
8,41.0,No,rarely,1276.0,unknown,2,5,unknown,unknown,2,F,91.0,3,4, manager ,1,married,5626,7,no,16,3.0,2,40.0,199140.0,16595.0,1,22.0,2,3.0,18,11,8,1982,unknown,Si
9,41.0,No,frequently,840.0,unknown,9,3,unknown,999.0,1,M,64.0,3,5, research director ,3,unknown,3735,2,no,17,3.0,2,40.0,77732.23346303502,6477.686121919585,1,21.0,2,4.0,18,0,11,1982,unknown,No
10,41.0,No,non-travel,247.0,unknown,7,1,unknown,1035.0,2,F,55.0,1,5, research director ,3,unknown,20284,1,no,22,4.0,2,40.0,239676.0,19973.0,2,11.318933823529411,3,3.0,21,5,10,1982,unknown,No
11,56.0,No,rarely,1369.0,unknown,23,3,Life Sciences,unknown,4,M,68.0,3,4, manufacturing director ,2,married,18235,4,yes,12,3.15,1,40.0,160824.0,13402.0,1,33.0,0,3.0,19,15,9,1967,unknown,No
12,38.0,No,rarely,201.0,unknown,10,3,Medical,unknown,2,F,99.0,1,3, research director ,3,married,3376,3,no,12,3.0,1,40.0,158472.0,13206.0,1,11.318933823529411,3,3.0,18,1,11,1985,unknown,Si
13,41.0,Yes,rarely,1360.0,unknown,12,3,unknown,58.0,2,F,49.0,3,5, research director ,3,married,16280,1,no,12,3.0,4,40.0,234540.0,19545.0,0,11.318933823529411,0,3.0,22,15,8,1982,unknown,No
14,55.0,No,rarely,692.0,unknown,14,4,Medical,unknown,3,M,61.0,4,5, research director ,2,single,13339,8,no,11,3.0,4,40.0,77732.23346303502,6477.686121919585,0,11.318933823529411,3,3.0,24,2,15,1968,unknown,Si
15,40.0,No,rarely,1398.0,unknown,2,4,unknown,558.0,3,F,79.0,3,5, manager ,3,unknown,13022,0,no,14,3.0,4,40.0,216492.0,18041.0,0,11.318933823529411,2,3.0,20,1,12,1983,unknown,No
16,58.0,Yes,rarely,286.0,unknown,2,4,unknown,825.0,4,M,31.0,3,5, research director ,2,single,25761,7,yes,12,3.0,4,40.0,230952.0,19246.0,0,40.0,2,3.0,31,13,8,1965,unknown,No
17,46.0,No,rarely,1402.0,unknown,2,3,unknown,unknown,3,F,69.0,3,4, manager ,1,unknown,24097,8,unknown,23,4.0,1,40.0,77732.23346303502,6477.686121919585,0,28.0,2,3.0,26,15,9,1977,unknown,No
18,35.0,No,rarely,819.0,unknown,13,5,Life Sciences,unknown,2,M,48.0,4,2, research scientist ,1,married,26312,1,unknown,11,3.0,4,40.0,77732.23346303502,6477.686121919585,0,11.318933823529411,2,3.0,16,1,10,1988,unknown,No
19,40.0,No,rarely,884.0,unknown,15,3,Life Sciences,unknown,1,F,80.0,2,3, manufacturing director ,3,unknown,25800,1,unknown,13,3.0,4,40.0,77732.23346303502,6477.686121919585,2,18.0,2,2.76,18,14,12,1983,unknown,Si
20,45.0,No,non-travel,1238.0, Research & Development ,1,1,unknown,1712.0,3,M,74.0,2,3, healthcare representative ,3,unknown,3395,3,unknown,23,4.0,4,40.0,128976.0,10748.0,1,25.0,3,2.0,23,14,4,1978, healthcare representative  -  research & development ,No
21,33.0,No,rarely,515.0,unknown,1,2,Life Sciences,73.0,1,F,98.0,3,3, research director ,4,single,15146,1,yes,12,3.0,3,40.0,77732.23346303502,6477.686121919585,0,15.0,1,3.0,15,8,12,1990,unknown,Si
22,36.0,No,rarely,1223.0,unknown,8,3,unknown,unknown,3,F,59.0,3,3, healthcare representative ,3,divorced,8202,1,unknown,13,3.15,2,40.0,77732.23346303502,6477.686121919585,3,17.0,2,3.0,17,12,8,1987,unknown,Si
23,47.0,No,rarely,202.0,unknown,2,2,Other,820.0,3,F,33.0,3,4, manager ,4,married,12982,1,unknown,11,3.0,3,40.0,201024.0,16752.0,1,11.318933823529411,3,2.0,26,3,0,1976,unknown,No
24,36.0,No,rarely,928.0,unknown,42,2,Life Sciences,unknown,4,M,56.0,3,2, sales executive ,4,unknown,2823,1,unknown,14,3.0,4,40.0,74412.0,6201.0,1,18.0,1,2.76,18,4,11,1987,unknown,Si
25,35.0,No,rarely,607.0,unknown,9,3,Life Sciences,unknown,4,F,66.0,2,3, manufacturing director ,3,married,23457,1,yes,20,4.0,2,40.0,77732.23346303502,6477.686121919585,1,17.0,2,3.0,17,5,15,1988,unknown,No
